value,type,occurrence
def,PALAVRA_RESERVADA,"[(1, 1), (45, 1), (77, 1)]"
divide_left_right_array,IDENTIFICADOR,"[(1, 5)]"
(,ABRE_PARENTESES,"[(1, 28), (15, 8), (31, 8), (33, 11), (45, 16), (61, 8), (63, 12), (63, 24), (65, 15), (77, 24), (85, 8), (100, 12), (102, 16), (116, 50), (118, 50)]"
),FECHA_PARENTESES,"[(1, 29), (15, 16), (31, 34), (33, 19), (45, 17), (61, 32), (63, 28), (63, 40), (65, 37), (77, 53), (85, 19), (100, 41), (102, 33), (116, 69), (118, 70)]"
{,ABRE_CHAVE,"[(1, 31), (15, 17), (32, 5), (34, 9), (38, 9), (45, 19), (62, 5), (64, 9), (66, 13), (77, 55), (86, 5), (101, 9), (103, 13)]"
int,TIPO,"[(2, 5), (3, 17), (12, 5), (19, 5), (21, 5), (22, 20), (23, 5), (24, 5), (26, 21), (27, 5), (29, 5), (46, 5), (47, 17), (54, 5), (56, 5), (58, 5), (59, 5), (77, 25), (77, 36), (77, 45), (78, 17), (88, 9), (89, 9), (91, 9), (94, 9), (96, 9), (98, 9), (99, 9), (115, 9), (117, 9)]"
array,IDENTIFICADOR,"[(2, 9), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5), (35, 27), (39, 28), (46, 9), (47, 5), (48, 5), (49, 5), (50, 5), (51, 5), (52, 5), (65, 16), (65, 29), (68, 24), (69, 17), (69, 30), (70, 17), (77, 29), (78, 5), (79, 5), (80, 5), (81, 5), (82, 5), (83, 5), (95, 17), (102, 17), (104, 24), (105, 17), (105, 28), (106, 17), (109, 20), (110, 13), (110, 24), (111, 13), (116, 51), (118, 51)]"
;,PONTO_VIRGULA,"[(2, 14), (3, 23), (4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 12), (13, 12), (16, 15), (19, 12), (20, 18), (21, 17), (22, 28), (23, 18), (24, 23), (25, 31), (26, 40), (27, 10), (28, 10), (29, 10), (31, 14), (31, 23), (35, 35), (39, 36), (40, 22), (46, 14), (47, 23), (48, 17), (49, 17), (50, 17), (51, 17), (52, 17), (54, 10), (55, 10), (56, 13), (57, 13), (58, 10), (59, 10), (61, 14), (61, 21), (63, 18), (63, 29), (68, 34), (69, 38), (70, 32), (78, 23), (79, 17), (80, 17), (81, 17), (82, 17), (83, 17), (88, 15), (89, 19), (90, 24), (91, 19), (92, 24), (94, 18), (95, 28), (96, 14), (97, 16), (98, 14), (99, 17), (100, 20), (100, 30), (104, 32), (105, 36), (106, 32), (107, 26), (109, 28), (110, 35), (111, 31), (112, 19), (115, 27), (116, 70), (117, 27), (118, 71)]"
=,OPERADOR_ATRIBUICAO,"[(3, 11), (4, 14), (5, 14), (6, 14), (7, 14), (8, 14), (9, 14), (10, 14), (11, 14), (13, 9), (20, 9), (22, 14), (25, 20), (26, 15), (28, 7), (31, 11), (31, 27), (35, 25), (39, 26), (40, 15), (47, 11), (48, 14), (49, 14), (50, 14), (51, 14), (52, 14), (55, 7), (57, 10), (61, 11), (61, 25), (63, 15), (63, 33), (68, 22), (69, 28), (70, 26), (78, 11), (79, 14), (80, 14), (81, 14), (82, 14), (83, 14), (90, 16), (92, 16), (95, 15), (97, 11), (100, 15), (100, 34), (104, 22), (105, 26), (106, 26), (107, 19), (109, 18), (110, 22), (111, 25), (112, 16), (116, 24), (118, 24)]"
new,PALAVRA_RESERVADA,"[(3, 13), (22, 16), (26, 17), (47, 13), (78, 13)]"
[,ABRE_COLCHETE,"[(3, 20), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10), (10, 10), (11, 10), (22, 23), (26, 24), (35, 21), (35, 32), (39, 22), (39, 33), (47, 20), (48, 10), (49, 10), (50, 10), (51, 10), (52, 10), (65, 21), (65, 34), (68, 29), (69, 22), (69, 35), (70, 22), (78, 20), (79, 10), (80, 10), (81, 10), (82, 10), (83, 10), (95, 22), (102, 22), (104, 29), (105, 22), (105, 33), (106, 22), (109, 25), (110, 18), (110, 29), (111, 18)]"
